matt code,site,date,timestamp,trip,lake.code,dup.num,ice.on.off,o2.g.m3,do.pct.sat,delo18.o2,sd.delo18.o2,delo18.h2o,wind.ms,sd.wind.ms,wind.height.ms,lake.area.km2,zmix.m,h2o.temp.c
1,12mile,6/29/2016,41088,3,1,1,1,9.61,106.7,17.54,0.03,-12.69,2.88,1.24,3,3.413,4,20.44
2,9mile,6/30/2016,41089,3,2,1,1,12.12,141.5,13,0.17,-14.1,2.88,1.24,3,3.331,1.9,23.03
3,abraham,6/30/2016,41089,3,3,1,1,9.08,104.8,15.6,0.57,-16.66,2.88,1.24,3,0.781,3.5,22.42
4,boot,6/28/2016,41087,3,4,1,1,9.71,103.8,20.35,0.15,-15.07,2.88,1.24,3,0.734,5,18.66
5,canvas_raft,6/26/2016,41085,3,5,1,1,12.27,143,13.52,0.27,-12.91,2.88,1.24,3,2.832,0.9,22.85
1,EC5,9/26/2018,1138,1,5,1,1,8.105,92.8,22.74059244,0.201,-6.01,2.88,1.24,3,0.153,10.5,22.2
2,EC2,9/28/2018,1214,2,2,1,1,7.9,89.6,23.39928347,0.201,-6.1,2.88,1.24,3,0.153,10.5,21.58
3,EC5,9/28/2018,931,2,5,1,1,7.9,89.6,23.19288677,0.201,-6.01,2.88,1.24,3,0.153,10.5,21.4
4,EC8,9/28/2018,1045,2,8,1,1,8.08,91.6,23.04856299,0.201,-5.95,2.88,1.24,3,0.153,10.5,21.46
5,NL70,9/28/2018,840,2,1,1,1,8.19,92.1,23.93690667,0.201,-6.73,2.88,1.24,3,0.153,10.5,21.07
6,NL76,9/28/2018,1316,2,9,1,1,8.05,92,22.5022188,0.201,-5.83,2.88,1.24,3,0.153,10.5,21.85
7,EC5,10/1/2018,855,3,5,1,1,8.19,92.4,23.17219581,0.201,-6.01,2.88,1.24,3,0.153,10.5,21.2
8,EC2,10/3/2018,1050,4,2,1,1,8.64,98.2,22.12123136,0.201,-6.1,2.88,1.24,3,0.153,10.5,21.64
9,EC5,10/3/2018,940,4,5,1,1,8.483333333,96.16666667,22.10772238,0.201,-6.01,2.88,1.24,3,0.153,10.5,21.53
10,EC8,10/3/2018,1157,4,8,1,1,8.67,99.1,21.74451892,0.201,-5.95,2.88,1.24,3,0.153,10.5,21.99
11,NL70,10/3/2018,905,4,1,1,1,8.37,94.5,22.50529679,0.201,-6.73,2.88,1.24,3,0.153,10.5,21.29
12,NL76,10/3/2018,1220,4,9,1,1,8.72,99.8,20.70945745,0.201,-5.83,2.88,1.24,3,0.153,10.5,22.15
13,EC5,10/5/2018,930,5,5,1,1,8.15,91.7,23.25581468,0.201,-6.01,2.88,1.24,3,0.153,10.5,21.13
14,EC5,10/9/2018,924,6,5,1,1,8.12,89.7,24.60483168,0.201,-6.01,2.88,1.24,3,0.153,10.5,20.21
15,EC2,10/12/2018,1007,7,2,1,1,8.23,90.2,24.43673893,0.201,-6.1,2.88,1.24,3,0.153,10.5,19.82
16,EC5,10/12/2018,859,7,5,1,1,8.22,90.23333333,24.46717689,0.201,-6.01,2.88,1.24,3,0.153,10.5,19.81
17,EC8,10/12/2018,1120,7,8,1,1,8.31,91.3,24.0499375,0.201,-5.95,2.88,1.24,3,0.153,10.5,19.99
18,NL70,10/12/2018,817,7,1,1,1,8.41,91.3,24.98855511,0.201,-6.73,2.88,1.24,3,0.153,10.5,19.34
19,NL76,10/12/2018,1148,7,9,1,1,8.14,90,23.82626984,0.201,-5.83,2.88,1.24,3,0.153,10.5,20.27
20,EC5,10/16/2018,908,8,5,1,1,8.65,92.6,24.13543738,0.201,-6.01,2.88,1.24,3,0.153,10.5,18.58
21,EC5,10/19/2018,908,9,5,1,1,9.01,96.6,22.40902394,0.201,-6.01,2.88,1.24,3,0.153,10.5,18.72
22,NL70,10/19/2018,836,9,1,1,1,8.8,93.7,23.40749146,0.201,-6.73,2.88,1.24,3,0.153,10.5,18.37
23,NL76,10/19/2018,1150,9,9,1,1,9.025,98.65,21.3566915,0.201,-5.83,2.88,1.24,3,0.153,10.5,19.88
24,EC5,10/22/2018,1018,10,5,1,1,8.96,96.1,21.8910657,0.201,-6.01,2.88,1.24,3,0.153,10.5,18.73
25,EC2,10/25/2018,908,11,2,1,1,8.74,92.7,22.67321854,0.201,-6.1,2.88,1.24,3,0.153,10.5,18.17
26,EC5,10/25/2018,1019,11,5,1,1,8.84,93.9,22.7055375,0.201,-6.01,2.88,1.24,3,0.153,10.5,18.29
27,EC8,10/25/2018,1128,11,8,1,1,8.91,95.2,22.25392717,0.201,-5.95,2.88,1.24,3,0.153,10.5,18.6
28,NL70,10/25/2018,825,11,1,1,1,8.99,94.7,23.90595572,0.201,-6.73,2.88,1.24,3,0.153,10.5,17.83
29,NL76,10/25/2018,1203,11,9,1,1,9.07,98.2,20.77324036,0.201,-5.83,2.88,1.24,3,0.153,10.5,19.34
30,EC2,10/19/2018,1125,9,2,1,1,9.24,100.1,22.26743615,0.201,-6.1,2.88,1.24,3,0.153,10.5,19.35
31,EC8,10/19/2018,1027,9,8,1,1,9.15,98.5,21.84147578,0.201,-5.95,2.88,1.24,3,0.153,10.5,18.95
